state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,United Kingdom,ages_20_24,2,6021354152983,340,190000,1,Alabama,AL,3843,413,UK,6021354152983,2,ages_20_24,170,146643,0.00115927797440041
Alabama,Vietnam,ages_20_24,2,6027149006383,220,190000,1,Alabama,AL,3843,518,Vietnam,6027149006383,2,ages_20_24,150,146643,0.0010228923303533099
Alabama,Australia,ages_25_29,2,6021354857783,70,200000,1,Alabama,AL,3843,700,Australia,6021354857783,2,ages_25_29,0,139683,0.0
Alabama,Austria,ages_25_29,2,6023675997383,20,200000,1,Alabama,AL,3843,450,Austria,6023675997383,2,ages_25_29,0,139683,0.0
Alabama,Canada,ages_25_29,2,6019396764183,180,200000,1,Alabama,AL,3843,150,Canada,6019396764183,2,ages_25_29,0,139683,0.0
Alabama,China,ages_25_29,2,6019452369983,310,200000,1,Alabama,AL,3843,500,China,6019452369983,2,ages_25_29,419,139683,0.0029996492057014802
Alabama,France,ages_25_29,2,6019367014383,70,200000,1,Alabama,AL,3843,421,France,6019367014383,2,ages_25_29,0,139683,0.0
Alabama,Germany,ages_25_29,2,6019367052983,300,200000,1,Alabama,AL,3843,453,Germany,6019367052983,2,ages_25_29,1138,139683,0.00814701860641596
Alabama,Greece,ages_25_29,2,6023676017583,20,200000,1,Alabama,AL,3843,433,Greece,6023676017583,2,ages_25_29,0,139683,0.0
Alabama,Hungary,ages_25_29,2,6019396638383,20,200000,1,Alabama,AL,3843,454,Hungary,6019396638383,2,ages_25_29,0,139683,0.0
Alabama,India,ages_25_29,2,6016916298983,910,200000,1,Alabama,AL,3843,521,India,6016916298983,2,ages_25_29,872,139683,0.0062427067001711
Alabama,Indonesia,ages_25_29,2,6019564344583,100,200000,1,Alabama,AL,3843,512,Indonesia,6019564344583,2,ages_25_29,0,139683,0.0
Alabama,Ireland,ages_25_29,2,6019396650783,30,200000,1,Alabama,AL,3843,414,Ireland,6019396650783,2,ages_25_29,0,139683,0.0
Alabama,Israel,ages_25_29,2,6025000823583,40,200000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_25_29,0,139683,0.0
Alabama,Italy,ages_25_29,2,6019396654583,70,200000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_25_29,163,139683,0.0011669279726237301
Alabama,Japan,ages_25_29,2,6023676028783,80,200000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_25_29,15,139683,0.00010738600975065
Alabama,KSA,ages_25_29,2,6025000813183,120,200000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_25_29,0,139683,0.0
