state,origin,ages_ranges,genders,behavior,expat_population_wave4,facebook_population_wave4,expat_total_population_october,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Germany,ages_20_24,2,6.01937E+12,240,200000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,2,ages_20_24,426,146643,0.002905014
Alabama,Greece,ages_20_24,2,6.02368E+12,20,200000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,2,ages_20_24,0,146643,0
Alabama,Hungary,ages_20_24,2,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,India,ages_20_24,2,6.01692E+12,510,200000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,2,ages_20_24,96,146643,0.000654651
Alabama,Indonesia,ages_20_24,2,6.01956E+12,40,200000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,2,ages_20_24,0,146643,0
Alabama,Ireland,ages_20_24,2,6.0194E+12,30,200000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Israel,ages_20_24,2,6.025E+12,20,200000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Italy,ages_20_24,2,6.0194E+12,70,200000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Japan,ages_20_24,2,6.02368E+12,110,200000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,2,ages_20_24,0,146643,0
Alabama,Malaysia,ages_20_24,2,6.02715E+12,20,200000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,2,ages_20_24,0,146643,0
Alabama,Mexico,ages_20_24,2,6.02368E+12,4500,200000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,2,ages_20_24,1066,146643,0.007269355
Alabama,Nepal,ages_20_24,2,6.02336E+12,90,200000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,2,ages_20_24,0,146643,0
Alabama,Philippines,ages_20_24,2,6.0188E+12,160,200000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,2,ages_20_24,0,146643,0
Alabama,Poland,ages_20_24,2,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Portugal,ages_20_24,2,6.02135E+12,20,200000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,2,ages_20_24,0,146643,0
Alabama,Puerto Rico,ages_20_24,2,6.01952E+12,310,200000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,2,ages_20_24,30,146643,0.000204578
Alabama,Romania,ages_20_24,2,6.02715E+12,20,200000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,2,ages_20_24,83,146643,0.000566
Alabama,Russia,ages_20_24,2,6.025E+12,80,200000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Saudi Arabia,ages_20_24,2,6.025E+12,120,200000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Singapore,ages_20_24,2,6.02352E+12,20,200000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,2,ages_20_24,0,146643,0
Alabama,South Korea,ages_20_24,2,6.02715E+12,220,200000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,2,ages_20_24,733,146643,0.004998534
Alabama,Spain,ages_20_24,2,6.01937E+12,70,200000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,2,ages_20_24,0,146643,0
Alabama,Turkey,ages_20_24,2,6.01937E+12,20,200000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,2,ages_20_24,0,146643,0
Alabama,UAE,ages_20_24,2,6.02352E+12,30,200000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,2,ages_20_24,0,146643,0
Alabama,UK,ages_20_24,2,6.02135E+12,310,200000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,2,ages_20_24,170,146643,0.001159278
Alabama,Vietnam,ages_20_24,2,6.02715E+12,180,200000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,2,ages_20_24,150,146643,0.001022892
Alabama,Australia,ages_20_24,1,6.02135E+12,60,210000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,1,ages_20_24,0,135274,0
Alabama,Austria,ages_20_24,1,6.02368E+12,20,210000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,1,ages_20_24,0,135274,0
Alabama,Canada,ages_20_24,1,6.0194E+12,140,210000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,China,ages_20_24,1,6.01945E+12,360,210000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,1,ages_20_24,1054,135274,0.007791593
Alabama,France,ages_20_24,1,6.01937E+12,140,210000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,1,ages_20_24,26,135274,0.000192202
Alabama,Germany,ages_20_24,1,6.01937E+12,260,210000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,1,ages_20_24,1009,135274,0.007458935
Alabama,Greece,ages_20_24,1,6.02368E+12,20,210000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,1,ages_20_24,0,135274,0
Alabama,Hungary,ages_20_24,1,6.0194E+12,20,210000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,India,ages_20_24,1,6.01692E+12,300,210000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,1,ages_20_24,130,135274,0.000961012
Alabama,Indonesia,ages_20_24,1,6.01956E+12,20,210000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,1,ages_20_24,0,135274,0
Alabama,Ireland,ages_20_24,1,6.0194E+12,20,210000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,Israel,ages_20_24,1,6.025E+12,20,210000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,1,ages_20_24,0,135274,0
Alabama,Italy,ages_20_24,1,6.0194E+12,60,210000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,Japan,ages_20_24,1,6.02368E+12,110,210000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,1,ages_20_24,0,135274,0
Alabama,Malaysia,ages_20_24,1,6.02715E+12,20,210000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,1,ages_20_24,390,135274,0.002883037
Alabama,Mexico,ages_20_24,1,6.02368E+12,2900,210000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,1,ages_20_24,2095,135274,0.015487085
Alabama,Nepal,ages_20_24,1,6.02336E+12,30,210000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,1,ages_20_24,130,135274,0.000961012
Alabama,Philippines,ages_20_24,1,6.0188E+12,220,210000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,1,ages_20_24,98,135274,0.000724456
Alabama,Poland,ages_20_24,1,6.0194E+12,20,210000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,Portugal,ages_20_24,1,6.02135E+12,20,210000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,1,ages_20_24,0,135274,0
Alabama,Puerto Rico,ages_20_24,1,6.01952E+12,290,210000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,1,ages_20_24,16,135274,0.000118278
Alabama,Romania,ages_20_24,1,6.02715E+12,20,210000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,1,ages_20_24,0,135274,0
Alabama,Russia,ages_20_24,1,6.025E+12,50,210000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,1,ages_20_24,0,135274,0
Alabama,Saudi Arabia,ages_20_24,1,6.025E+12,20,210000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,1,ages_20_24,0,135274,0
Alabama,Singapore,ages_20_24,1,6.02352E+12,20,210000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,1,ages_20_24,0,135274,0
Alabama,South Korea,ages_20_24,1,6.02715E+12,190,210000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,1,ages_20_24,629,135274,0.004649822
Alabama,Spain,ages_20_24,1,6.01937E+12,30,210000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,1,ages_20_24,0,135274,0
Alabama,Turkey,ages_20_24,1,6.01937E+12,20,210000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,1,ages_20_24,0,135274,0
Alabama,UAE,ages_20_24,1,6.02352E+12,20,210000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,1,ages_20_24,0,135274,0
Alabama,UK,ages_20_24,1,6.02135E+12,300,210000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,1,ages_20_24,0,135274,0
Alabama,Vietnam,ages_20_24,1,6.02715E+12,210,210000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,1,ages_20_24,0,135274,0
Alabama,Australia,ages_25_29,2,6.02135E+12,60,190000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,2,ages_25_29,0,139683,0
Alabama,Austria,ages_25_29,2,6.02368E+12,20,190000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,2,ages_25_29,0,139683,0
Alabama,Canada,ages_25_29,2,6.0194E+12,120,190000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,2,ages_25_29,0,139683,0
Alabama,China,ages_25_29,2,6.01945E+12,310,190000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,2,ages_25_29,419,139683,0.002999649
Alabama,France,ages_25_29,2,6.01937E+12,60,190000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,2,ages_25_29,0,139683,0
Alabama,Germany,ages_25_29,2,6.01937E+12,290,190000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,2,ages_25_29,1138,139683,0.008147019
Alabama,Greece,ages_25_29,2,6.02368E+12,20,190000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,2,ages_25_29,0,139683,0
Alabama,Hungary,ages_25_29,2,6.0194E+12,20,190000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,2,ages_25_29,0,139683,0
Alabama,India,ages_25_29,2,6.01692E+12,790,190000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,2,ages_25_29,872,139683,0.006242707
Alabama,Indonesia,ages_25_29,2,6.01956E+12,60,190000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,2,ages_25_29,0,139683,0
Alabama,Ireland,ages_25_29,2,6.0194E+12,20,190000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,2,ages_25_29,0,139683,0
Alabama,Israel,ages_25_29,2,6.025E+12,30,190000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,2,ages_25_29,0,139683,0
Alabama,Italy,ages_25_29,2,6.0194E+12,60,190000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,2,ages_25_29,163,139683,0.001166928
Alabama,Japan,ages_25_29,2,6.02368E+12,80,190000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,2,ages_25_29,15,139683,0.000107386
Alabama,Malaysia,ages_25_29,2,6.02715E+12,20,190000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,2,ages_25_29,0,139683,0
Alabama,Mexico,ages_25_29,2,6.02368E+12,6400,190000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,2,ages_25_29,2544,139683,0.018212667
Alabama,Nepal,ages_25_29,2,6.02336E+12,110,190000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,2,ages_25_29,0,139683,0
Alabama,Philippines,ages_25_29,2,6.0188E+12,240,190000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,2,ages_25_29,209,139683,0.001496245
Alabama,Poland,ages_25_29,2,6.0194E+12,20,190000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,2,ages_25_29,0,139683,0
Alabama,Portugal,ages_25_29,2,6.02135E+12,20,190000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,2,ages_25_29,0,139683,0
